customer_id,product_category,value_USD,time_on_site_Minutes,clicks_in_site,credit,paypal
37077,505,-0.15395814690050666,12.0,8,1,0
59173,509,-0.14677077216429274,25.9,8,0,1
41066,507,0.0886823002127894,34.9,11,1,0
50741,506,-0.2533169476520566,16.5,9,1,0
53639,515,1.2884414830319069,43.1,30,0,1
39783,501,0.806022228746585,14.0,10,1,0
26767,514,-0.07616147035759852,11.6,8,0,1
20719,505,-0.4091764998021772,3.1,7,0,1
46947,515,0.4748040429860598,38.3,6,0,1
31839,512,2.4973179838034443,41.8,19,1,0
22249,509,0.48052732286860067,7.8,13,0,1
15109,512,0.2002862579223335,15.6,9,1,0
18622,509,0.12588361944930412,8.0,6,0,1
56296,503,-0.2943781533209825,12.2,8,1,0
34138,506,-0.11063424918499495,17.0,10,0,1
51112,514,-0.45902227459314227,4.3,6,0,1
57057,503,-0.4246160455318219,38.1,0,0,1
50942,514,-0.0872752812922997,38.6,10,1,0
42384,514,0.4005345040451826,34.5,8,0,1
26127,510,-0.20613316350413372,44.2,8,0,1
14449,514,1.0783438715298017,24.8,0,0,1
16823,508,0.09833201629381738,13.5,11,1,0
15976,508,0.5341664343259009,9.0,16,0,1
51542,514,-0.28392984004704186,11.8,7,0,1
42676,511,-0.4050504143054618,6.6,6,0,1
56593,509,-0.15795113286506998,20.6,8,0,1
37689,508,0.6426425530298703,56.7,9,0,1
26058,504,-0.10956945292777805,10.8,0,1,0
38941,514,1.979494253965661,49.7,7,0,1
19919,512,0.8606595866950263,19.5,22,1,0
56625,505,0.07610439442441504,16.3,14,1,0
33501,514,0.8377664671648634,34.2,10,0,1
40865,515,0.21532650505552187,19.8,16,1,0
38256,505,0.05434262091754511,29.0,8,0,1
14567,509,0.23542453441049052,20.9,12,1,0
38178,507,-0.3647212560633725,8.6,7,1,0
24153,513,1.5481186702606733,27.8,20,1,0
27385,509,0.2363562311355553,36.1,13,0,1
44937,505,0.15050703289744444,25.2,10,1,0
38490,510,-0.4568926820787085,2.7,6,1,0
30549,512,0.8474161832458912,12.3,25,1,0
50606,508,2.0820474434888614,33.6,23,0,1
42084,504,0.38096887281882247,28.2,18,0,1
52161,512,0.6210138790551524,26.9,16,1,0
32218,508,2.4538609865557803,37.9,12,0,1
36491,513,-0.3881467737221438,70.0,7,0,1
12227,515,1.789161922988144,25.4,7,1,0
13196,514,0.12142478512220842,11.5,13,1,0
50444,507,0.008889130687599632,30.7,13,1,0
24528,509,1.4962098527213505,31.3,7,1,0
57748,509,-0.15269370134506163,14.4,8,0,1
46349,515,0.11330571366092973,10.2,12,0,1
54853,508,-0.05573069217224962,138.4,12,1,0
28082,507,-0.4025215231945717,8.9,6,1,0
20444,503,0.8487471785674122,29.3,19,1,0
51472,508,1.3570542918563195,28.2,25,0,1
45606,501,0.12941075705133503,14.8,7,1,0
47238,503,0.28646820499082454,13.8,12,1,0
18609,507,-0.4300065765839824,10.6,7,1,0
39387,515,1.1147465935734036,9.5,21,1,0
47027,514,1.0338886277909969,9.4,19,1,0
31526,505,1.2977584502825548,13.3,7,1,0
25308,506,2.636806293498855,30.6,13,1,0
47320,502,0.8059556789805091,6.6,23,0,1
52527,513,1.9249234457832962,29.6,20,1,0
17333,510,-0.38362138962897213,4.5,8,1,0
26223,513,2.3173674163337914,85.4,22,1,0
22734,502,-0.0030898272060902285,7.3,8,0,1
54066,511,1.3862030893976316,10.0,17,1,0
55093,508,0.6688631608638359,51.5,21,1,0
49436,501,2.7721019679314747,14.2,50,1,0
41257,511,4.233867579792021,71.1,18,1,0
55433,502,-0.38348829009682,72.5,7,0,1
13366,503,0.372982900889696,54.5,11,0,1
41451,508,3.405256442379061,83.7,53,1,0
42588,514,1.054652154806726,16.6,20,0,1
26754,501,1.09338411866299,11.6,24,0,1
34365,510,1.3921925683444767,48.6,15,1,0
49745,507,1.7656698555632968,33.0,21,1,0
53213,506,6.8873398527764795,22.5,17,1,0
43735,506,-0.13139777620072407,18.3,9,0,1
14760,504,0.3764434887256507,13.7,15,1,0
44410,504,-0.20293877473248306,6.7,9,0,1
53552,515,0.7360784246006514,11.5,17,0,1
39696,512,1.2375974617498011,74.2,30,1,0
22235,501,-0.09798979363054452,14.0,7,0,1
42599,507,-0.07542942293076192,12.2,12,1,0
27079,504,-0.24380033110318078,43.2,9,1,0
57745,515,0.6252730640840201,40.8,15,1,0
20917,507,0.37371494831653246,169.2,18,0,1
54446,502,0.7225688220872123,20.8,13,0,1
55746,510,4.584318647948526,88.6,59,0,1
58534,514,1.1923436208180838,26.4,16,1,0
53957,514,-0.4710012324868322,7.5,6,1,0
53395,503,0.024727975013700665,3.3,8,1,0
52267,512,1.2623539747300936,36.3,16,1,0
29085,507,0.21519340552336977,34.5,9,1,0
56399,502,0.21080112096235018,6.6,16,0,1
27009,514,-0.26329941256346484,5.9,6,1,0
35336,509,-0.4104409453576222,32.7,7,1,0
26503,506,-0.15056410883062787,23.1,11,0,1
50579,504,0.15503241699061612,25.7,10,0,1
54326,514,-0.2083293057846435,22.8,7,1,0
23420,504,0.2412809138251833,19.6,11,0,1
32534,511,-0.25338349741813265,9.1,9,0,1
22902,504,-0.30595781261821603,20.0,6,1,0
31526,515,1.7730568795977386,16.4,0,1,0
40170,511,-0.04568167749476539,8.6,12,1,0
18701,515,-0.15602118964886438,16.0,0,0,1
10773,513,0.24048231663227063,56.9,0,1,0
41607,507,4.195668014064365,38.5,0,0,1
26936,501,-0.3113483436703765,6.5,0,0,1
56518,507,2.123774146818548,21.1,0,1,0
44722,505,0.12069273769537182,19.7,0,0,1
39332,509,-0.15415779619873485,20.1,0,1,0
39095,505,2.264460352303328,47.8,0,1,0
55428,507,0.570835355433807,10.1,0,0,1
16481,510,0.576824834380652,27.5,0,1,0
23129,501,-0.3084867037291061,2.9,0,0,1
39272,504,1.0672300605951004,11.7,0,1,0
54296,506,5.262860062859981,12.0,0,1,0
